name,gender,count
Aayanna,F,38
Aayansh,M,528
Aayara,F,5
Aayat,F,465
Aayce,M,6
Aaydan,M,11
Aayden,F,5
Aayden,M,1701
Aayla,F,817
Aaylah,F,125
Aayliah,F,92
Aayon,M,10
Aayra,F,277
Aayu,M,12
Aayush,M,1452
Aayusha,F,11
Aayushi,F,250
Aazan,M,5
Aazeen,F,12
Aazil,M,11
Aazim,M,29
Aazir,M,36
Aaziyah,F,39
Ab,M,375
Aba,F,27
Aba,M,5
Abaan,M,72
Abaas,M,6
Ababacar,M,5
Abad,M,93
Abaddon,M,19
Abagael,F,210
Abagail,F,5882
Abagaile,F,15
Abagale,F,374
Abagayle,F,346
Abaigael,F,19
Abaigail,F,10
Abaigeal,F,330
Aban,M,44
Abanoub,M,191
Abas,M,109
Abasi,M,40
Abass,M,109
Abayomi,M,221
Abb,M,96
Abba,F,11
Abba,M,80
Abbaas,M,5
Abbagail,F,872
Abbagale,F,139
Abbagayle,F,112
Abbas,M,1782
Abbe,F,1325
Abbee,F,164
Abbegail,F,247
Abbegale,F,82
Abbegayle,F,73
Abbey,F,17488
Abbey,M,35
Abbeygail,F,66
Abbeygale,F,22
Abbi,F,2076
Abbie,F,22101
Abbie,M,330
Abbiegail,F,249
Abbiegale,F,58
Abbiegayle,F,18
Abbigael,F,162
Abbigail,F,12114
Abbigail,M,5
Abbigaile,F,91
Abbigal,F,158
Abbigale,F,2181
Abbigayl,F,29
Abbigayle,F,1324
Abbilyn,F,12
Abbot,M,33
Abbott,F,24
Abbott,M,1269
Abbra,F,36
Abbrianna,F,5
Abbriella,F,31
Abbrielle,F,83
Abby,F,61472
Abby,M,181
Abbye,F,184
Abbygael,F,70
Abbygail,F,3614
Abbygaile,F,47
Abbygale,F,814
Abbygayl,F,6
Abbygayle,F,451
Abbylynn,F,18
Abcde,F,415
Abd,M,17
Abdala,M,6
Abdalah,M,6
Abdalla,M,390
Abdallah,M,1591
Abdalrahman,M,219
Abdalrhman,M,5
Abdel,M,815
Abdelaziz,M,125
Abdelhadi,M,5
Abdelhamid,M,5
Abdelkader,M,5
Abdelkareem,M,15
Abdelkarim,M,32
Abdellah,M,24
Abdelrahman,M,649
Abdelrhman,M,6
Abderrahman,M,5
Abdi,F,10
Abdi,M,334
Abdia,F,5
Abdias,M,875
Abdiasis,M,6
Abdiaziz,M,191
Abdiel,M,7249
Abdifatah,M,278
Abdihafid,M,38
Abdihakim,M,65
Abdihamid,M,10
Abdikadir,M,185
Abdikarim,M,33
Abdikhaliq,M,5
Abdilahi,M,10
Abdimalik,M,278
Abdinajib,M,5
Abdinasir,M,215
Abdiqani,M,27
Abdirahim,M,111
Abdirahin,M,6
Abdirahman,M,2139
Abdirashid,M,40
Abdirisaq,M,12
Abdirizak,M,105
Abdirizaq,M,5
Abdisalam,M,5
Abdisalan,M,11
Abdisamad,M,28
Abdishakur,M,69
Abdiwahab,M,19
Abdiwali,M,5
Abdo,M,88
Abdon,M,359
Abdou,M,306
Abdoul,M,569
Abdoulaye,M,912
Abdoulaziz,M,10
Abdoulie,M,125
Abdourahman,M,11
Abdourahmane,M,52
Abdrahman,M,15
Abdrew,M,6
Abdriel,M,33
Abdu,M,32
Abdual,M,17
Abduallah,M,32
Abduel,M,5
Abdul,M,6444
Abdula,M,39
Abdulah,M,75
Abdulahad,M,160
Abdulahi,M,494
Abdulai,M,108
Abdulaye,M,10
Abdulazeem,M,10
Abdulazeez,M,35
Abdulazim,M,5
Abdulaziz,M,1679
Abdulbari,M,10
Abdulbasit,M,42
Abdule,M,6
Abdulelah,M,44
Abdulghani,M,16
Abdulhaadi,M,10
Abdulhadi,M,207
Abdulhakeem,M,72
Abdulhakim,M,23
Abdulhaleem,M,5
Abdulhalim,M,5
Abdulhameed,M,21
Abdulhamid,M,111
Abduljabbar,M,39
Abduljaleel,M,5
Abduljalil,M,5
Abdulkabir,M,10
Abdulkadir,M,151
Abdulkareem,M,244
Abdulkarim,M,206
Abdulkhaliq,M,18
Abdull,M,5
Abdulla,M,519
Abdullah,M,9045
Abdullahi,M,1802
Abdullateef,M,13
Abdullatif,M,54
Abdulloh,M,246
Abdulmajeed,M,59
Abdulmajid,M,21
Abdulmalek,M,5
Abdulmalik,M,562
Abdulmannan,M,5
Abdulmateen,M,5
Abdulmohsen,M,21
Abdulnasir,M,5
Abdulqadir,M,64
Abdulraheem,M,168
Abdulrahim,M,147
Abdulrahman,M,2837
Abdulrazak,M,7
Abdulrazaq,M,5
Abdulrehman,M,60
Abdulrhman,M,28
Abdulsalam,M,103
Abdulsamad,M,48
Abdulwadud,M,5
Abdulwahab,M,197
Abdulwahhab,M,5
Abdulwahid,M,18
Abdulwali,M,27
Abdumalik,M,5
Abdur,M,336
Abdurahim,M,5
Abdurahman,M,465
Abdurahmon,M,31
Abdurraheem,M,33
Abdurrahim,M,27
Abdurrahmaan,M,10
Abdurrahman,M,1018
Abdurrehman,M,36
Abdussamad,M,6
Abe,M,9628
